"museum_name","bssid"
"The Great Cairo Library","24:d3:f2:a7:b3:cd"
"The Great Cairo Library","b4:74:9f:ba:83:34"
"The Great Cairo Library","b0:89:00:74:7c:84"
"The Great Cairo Library","9c:d6:43:cb:23:c0"
"The Great Cairo Library","30:99:35:90:32:9f"
"The Great Cairo Library","44:fb:5a:d2:d0:61"
"The Great Cairo Library","d8:0d:17:db:be:92"
"The Great Cairo Library","10:10:81:ad:c4:92"
"The Great Cairo Library","f4:e3:fb:90:3a:a8"
"Pyramids","d4:6b:a6:c4:28:00"
